                                                  

        SCF,CCSD
   -118.36191934,   -119.04573142
   -118.40870441,   -119.13891117
   -118.39313643,   -119.06219544
   -118.37780469,   -119.04898159
   -118.11132369,   -118.73191014
   -118.10186872,   -118.70425021
   -117.49096571,   -118.04475355
   -116.41762197,   -116.91636481
   -114.85088270,   -115.30138989
   -112.79947976,   -113.19412227
    -92.77158820,    -93.03153823
    -65.96502080,    -66.08832696
    -31.29732695,    -31.34700250
   -113.69195643,   -114.11344589
    -95.95196743,    -96.34359007
                                                  
