                                                  

        SCF,CCSD
   -118.81745769,   -119.50619651
   -118.86665979,   -119.60140658
   -118.85163751,   -119.52475734
   -118.83937839,   -119.51418465
   -118.57153220,   -119.19577744
   -118.56508130,   -119.17057128
   -117.95679346,   -118.51339022
   -116.88947628,   -117.39037881
   -115.32843205,   -115.78058008
   -113.28144417,   -113.67753578
    -93.24202247,    -93.50190572
    -66.27071493,    -66.39494283
    -31.36232942,    -31.41296134
   -114.16099325,   -114.60922831
    -96.38762790,    -96.77995253
                                                  
