                                                  

        SCF,CCSD
   -118.50926608,   -119.18090662
   -118.52499194,   -119.25845362
   -118.49631982,   -119.17013673
   -118.47611953,   -119.16264776
   -118.22708254,   -118.84980634
   -118.22018938,   -118.82456082
   -117.60882534,   -118.16416990
   -116.53798374,   -117.03781746
   -114.97397062,   -115.42516515
   -113.81704339,   -114.24633306
   -112.92531874,   -113.32033681
    -96.08678739,    -96.47347622
    -92.90846839,    -93.16787915
    -66.02766364,    -66.15169498
    -31.24699472,    -31.29808560
                                                  
