                                                  

       SCF,CCSD
   -66.66812558,   -67.12499048
   -66.71678743,   -67.13573641
   -66.57309573,   -66.98371736
   -66.68885305,   -67.17467104
   -66.45638426,   -66.84407332
   -66.44177039,   -66.82548741
   -66.36435433,   -66.79101242
   -65.90602162,   -66.25940542
   -64.99535273,   -65.31748625
   -63.63771066,   -63.93292646
   -61.79726803,   -62.06819201
   -61.09828610,   -61.36791785
   -60.63379346,   -60.91544090
   -59.48169377,   -59.72427226
   -43.93523657,   -44.05199764
   -21.57230032,   -21.62218385
                                                  
