                                                  

       SCF,CCSD
   -66.30719710,   -66.76638970
   -66.35546173,   -66.77713289
   -66.21149531,   -66.62385958
   -66.32776651,   -66.81590983
   -66.09572712,   -66.48625216
   -66.08108955,   -66.46742246
   -66.00399535,   -66.43308051
   -65.54686019,   -65.90294710
   -64.63853970,   -64.96348734
   -63.28394398,   -63.58214100
   -61.44675657,   -61.72089967
   -60.74470391,   -61.01816099
   -60.28726112,   -60.57371027
   -59.13387389,   -59.37986815
   -43.70745154,   -43.82575627
   -21.50431541,   -21.55354330
                                                  
