                                                  

       SCF,CCSD
   -67.02070007,   -67.47778977
   -67.06587594,   -67.48535036
   -66.92315984,   -67.33701689
   -67.03800317,   -67.52491523
   -66.80916633,   -67.19690155
   -66.79102964,   -67.17492105
   -66.72076845,   -67.14716778
   -66.25921494,   -66.61238738
   -65.35192820,   -65.67376630
   -63.99609028,   -64.29110151
   -62.15448302,   -62.42544829
   -61.45873145,   -61.72959774
   -60.97448178,   -61.25409693
   -59.83307665,   -60.07620823
   -44.19010546,   -44.30769966
   -21.69535126,   -21.74475792
                                                  
