                                                  

       SCF,CCSD
   -66.76273261,   -67.21809889
   -66.81089386,   -67.22833966
   -66.66544178,   -67.07460555
   -66.78297753,   -67.26728570
   -66.55017025,   -66.93652788
   -66.53472694,   -66.91682857
   -66.45861929,   -66.88400409
   -65.99784162,   -66.34980247
   -65.08502400,   -65.40600916
   -63.72402943,   -64.01842292
   -61.87892615,   -62.14941103
   -61.17346058,   -61.44308373
   -60.70705158,   -60.98846118
   -59.55738355,   -59.79994658
   -44.00803618,   -44.12455734
   -21.64577830,   -21.69485217
                                                  
