 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -6.599405732679   -16149.586848416468 (   1 * )
    2     0.0054710367     -6.593934695996   -16149.581377379785 (   3 * )
    3     0.0127988270     -6.586606905676   -16149.574049589464 (   5 * )
    4     0.0206472288     -6.578758503876   -16149.566201187665 (   7 * )
    5     0.0285676671     -6.570838065541   -16149.558280749330 (   9 * )
    6     0.0665116073     -6.532894125394   -16149.520336809182 (   1 * )
    7     0.0714260568     -6.527979675901   -16149.515422359691 (   9 * )
    8     0.0826515843     -6.516754148410   -16149.504196832198 (  11 * )
    9     0.0851749547     -6.514230777956   -16149.501673461746 (   3 * )
   10     0.0856669269     -6.513738805801   -16149.501181489590 (   7 * )
   11     0.0893451904     -6.510060542273   -16149.497503226061 (   5 * )
   12     0.0893514126     -6.510054320121   -16149.497497003909 (  13 * )
   13     0.0959945971     -6.503411135626   -16149.490853819414 (   9 * )
   14     0.1058342802     -6.493571452470   -16149.481014136260 (   5 * )
   15     0.1064579500     -6.492947782711   -16149.480390466500 (   9 * )
   16     0.1080806287     -6.491325103948   -16149.478767787736 (   7 * )
   17     0.1162264180     -6.483179314689   -16149.470621998478 (  11 * )
   18     0.1230508989     -6.476354833795   -16149.463797517583 (   7 * )
   19     0.1259221974     -6.473483535286   -16149.460926219075 (  13 * )
   20     0.1270135623     -6.472392170390   -16149.459834854179 (   5 * )
   21     0.1315971073     -6.467808625393   -16149.455251309180 (   3 * )
   22     0.1426394554     -6.456766277293   -16149.444208961082 (   9 * )
   23     0.1518513622     -6.447554370434   -16149.434997054223 (   1 * )
   24     0.1579334273     -6.441472305329   -16149.428914989117 (   5 * )
   25     0.1700702577     -6.429335475022   -16149.416778158809 (   7 * )
   26     0.1917895640     -6.407616168636   -16149.395058852426 (   5 * )
   27     0.1967121516     -6.402693581069   -16149.390136264858 (   9 * )
   28     0.1996107270     -6.399795005652   -16149.387237689440 (   5 * )
   29     0.2030986204     -6.396307112262   -16149.383749796050 (   7 * )
   30     0.2079175608     -6.391488171918   -16149.378930855706 (   3 * )
   31     0.2165528970     -6.382852835660   -16149.370295519449 (   1 * )
   32     0.2232435909     -6.376162141770   -16149.363604825559 (   9 * )
   33     0.2883099594     -6.311095773231   -16149.298538457020 (   5 * )
   34     0.3681478126     -6.231257920031   -16149.218700603818 (   1 * )


 Total average:    -16149.4644550191
