  Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy
 
     1     0.0000000000     -4.109508035508   -16150.347030608962 (   1 * )
     2     0.0045450233     -4.104963012210   -16150.342485585665 (   3 * )
     3     0.0108855570     -4.098622478493   -16150.336145051948 (   5 * )
     4     0.0178759387     -4.091632096790   -16150.329154670244 (   7 * )
     5     0.0251013660     -4.084406669553   -16150.321929243008 (   9 * )
     6     0.0602623167     -4.049245718795   -16150.286768292250 (   1 * )
     7     0.0645638986     -4.044944136893   -16150.282466710347 (   9 * )
     8     0.0743001716     -4.035207863953   -16150.272730437408 (  11 * )
     9     0.0765588219     -4.032949213581   -16150.270471787035 (   3 * )
    10     0.0773834677     -4.032124567777   -16150.269647141231 (   7 * )
    11     0.0803434269     -4.029164608638   -16150.266687182093 (  13 * )
    12     0.0805639791     -4.028944056366   -16150.266466629819 (   5 * )
    13     0.0862412236     -4.023266811904   -16150.260789385358 (   9 * )
    14     0.0951397909     -4.014368244571   -16150.251890818025 (   5 * )
    15     0.0958921780     -4.013615857471   -16150.251138430925 (   9 * )
    16     0.0969745590     -4.012533476463   -16150.250056049917 (   7 * )
    17     0.1044609238     -4.005047111742   -16150.242569685195 (  11 * )
    18     0.1115995443     -3.997908491246   -16150.235431064699 (   7 * )
    19     0.1131490481     -3.996358987420   -16150.233881560875 (  13 * )
    20     0.1146725974     -3.994835438122   -16150.232358011577 (   5 * )
    21     0.1186823777     -3.990825657846   -16150.228348231300 (   3 * )
    22     0.1279426411     -3.981565394371   -16150.219087967826 (   9 * )
    23     0.1366648338     -3.972843201708   -16150.210365775161 (   1 * )
    24     0.1424895408     -3.967018494751   -16150.204541068204 (   5 * )
    25     0.1540710014     -3.955437034125   -16150.192959607579 (   7 * )
    26     0.1744504374     -3.935057598114   -16150.172580171567 (   5 * )
    27     0.1788715324     -3.930636503084   -16150.168159076538 (   9 * )
    28     0.1805981087     -3.928909926801   -16150.166432500255 (   5 * )
    29     0.1838643836     -3.925643651902   -16150.163166225357 (   7 * )
    30     0.1883818299     -3.921126205620   -16150.158648779074 (   3 * )
    31     0.1959755095     -3.913532526021   -16150.151055099475 (   1 * )
    32     0.2023451517     -3.907162883847   -16150.144685457301 (   9 * )
    33     0.2624264280     -3.847081607507   -16150.084604180960 (   5 * )
    34     0.3351367726     -3.774371262887   -16150.011893836341 (   1 * )
 
 
  Total average:    -16150.2365474937
