 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.412003332077      -66.775211523875 (   7 * )
    2     0.0994143352     -7.312588996914      -66.675797188713 (   5 * )
    3     0.1005529779     -7.311450354186      -66.674658545985 (   5 * )
    4     0.1010944540     -7.310908878109      -66.674117069908 (   7 * )
    5     0.1026013561     -7.309401975957      -66.672610167755 (   9 * )
    6     0.1032931605     -7.308710171552      -66.671918363350 (  13 * )
    7     0.1034849718     -7.308518360227      -66.671726552025 (  11 * )
    8     0.1080100456     -7.303993286449      -66.667201478247 (   7 * )
    9     0.1116345842     -7.300368747894      -66.663576939692 (   5 * )
   10     0.1132043120     -7.298799020036      -66.662007211835 (   3 * )
   11     0.1226268188     -7.289376513264      -66.652584705062 (   9 * )
   12     0.1242802911     -7.287723041021      -66.650931232819 (   1 * )
   13     0.1279537139     -7.284049618137      -66.647257809936 (   3 * )
   14     0.1301921326     -7.281811199474      -66.645019391272 (   7 * )
   15     0.1309634242     -7.281039907838      -66.644248099636 (   5 * )
   16     0.1549166058     -7.257086726270      -66.620294918068 (  11 * )
   17     0.1558839438     -7.256119388230      -66.619327580028 (  13 * )
   18     0.1562817303     -7.255721601787      -66.618929793585 (   3 * )
   19     0.1565324131     -7.255470919025      -66.618679110823 (   5 * )
   20     0.1586748653     -7.253328466815      -66.616536658613 (   7 * )
   21     0.1588091806     -7.253194151464      -66.616402343262 (  15 * )
   22     0.1599903974     -7.252012934673      -66.615221126471 (  11 * )
   23     0.1608801643     -7.251123167791      -66.614331359589 (   9 * )
   24     0.1631120158     -7.248891316268      -66.612099508067 (   7 * )
   25     0.1659228514     -7.246080480681      -66.609288672479 (   5 * )
   26     0.1670002957     -7.245003036334      -66.608211228132 (   9 * )
   27     0.1722815988     -7.239721733300      -66.602929925099 (  11 * )
   28     0.1731594973     -7.238843834762      -66.602052026560 (   7 * )
   29     0.1767740009     -7.235229331176      -66.598437522974 (   3 * )
   30     0.1814051589     -7.230598173175      -66.593806364973 (   5 * )
   31     0.1831105763     -7.228892755792      -66.592100947590 (   9 * )
   32     0.1844988463     -7.227504485776      -66.590712677574 (   3 * )
   33     0.1847413143     -7.227262017735      -66.590470209534 (  13 * )
   34     0.1851938868     -7.226809445251      -66.590017637049 (   9 * )
   35     0.1856009599     -7.226402372212      -66.589610564010 (  11 * )
   36     0.1859368380     -7.226066494028      -66.589274685826 (   1 * )
   37     0.1864759948     -7.225527337245      -66.588735529043 (   5 * )
   38     0.1866230964     -7.225380235697      -66.588588427495 (   7 * )
   39     0.1902313159     -7.221772016171      -66.584980207969 (   7 * )
   40     0.1965875102     -7.215415821900      -66.578624013698 (   9 * )
   41     0.1980676169     -7.213935715219      -66.577143907017 (   7 * )
   42     0.1984970937     -7.213506238384      -66.576714430182 (   5 * )
   43     0.1998922814     -7.212111050664      -66.575319242462 (   3 * )
   44     0.2002805469     -7.211722785132      -66.574930976930 (  11 * )
   45     0.2022894003     -7.209713931744      -66.572922123542 (  13 * )
   46     0.2024633621     -7.209539970008      -66.572748161806 (   7 * )
   47     0.2034687082     -7.208534623862      -66.571742815660 (   5 * )
   48     0.2040878102     -7.207915521877      -66.571123713675 (   9 * )
   49     0.2205675525     -7.191435779587      -66.554643971385 (   3 * )
   50     0.2210462320     -7.190957100104      -66.554165291902 (   9 * )
   51     0.2213379946     -7.190665337444      -66.553873529242 (   5 * )
   52     0.2224534803     -7.189549851764      -66.552758043562 (   7 * )
   53     0.2269728813     -7.185030450767      -66.548238642565 (   7 * )
   54     0.2275150036     -7.184488328437      -66.547696520236 (  11 * )
   55     0.2365171264     -7.175486205715      -66.538694397513 (   5 * )
   56     0.2385149345     -7.173488397555      -66.536696589354 (   7 * )
   57     0.2397655868     -7.172237745242      -66.535445937040 (   9 * )
   58     0.2410296084     -7.170973723655      -66.534181915453 (   3 * )
   59     0.2421074858     -7.169895846287      -66.533104038086 (   5 * )
   60     0.2499593490     -7.162043983112      -66.525252174910 (   7 * )
   61     0.2538063849     -7.158196947211      -66.521405139009 (   1 * )
   62     0.2614383458     -7.150564986251      -66.513773178049 (  11 * )
   63     0.2630865108     -7.148916821234      -66.512125013032 (   9 * )
   64     0.2647061489     -7.147297183203      -66.510505375001 (   7 * )
   65     0.2762561414     -7.135747190727      -66.498955382525 (   5 * )
   66     0.2958427766     -7.116160555461      -66.479368747259 (   9 * )
   67     0.3079680869     -7.104035245161      -66.467243436959 (   5 * )
   68     0.3097326643     -7.102270667825      -66.465478859624 (   3 * )
   69     0.3122975806     -7.099705751444      -66.462913943242 (   1 * )
   70     0.3310151303     -7.080988201814      -66.444196393612 (   3 * )
   71     0.3341761382     -7.077827193858      -66.441035385657 (   7 * )
   72     0.3358250766     -7.076178255498      -66.439386447296 (   5 * )
   73     0.3478717367     -7.064131595364      -66.427339787162 (   3 * )
   74     0.3683959836     -7.043607348513      -66.406815540311 (   5 * )


 Total average:       -66.5852552934
