 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -4.088446723359      -66.745499085603 (   1 * )
    2     0.0046024716     -4.083844251728      -66.740896613972 (   3 * )
    3     0.0110410165     -4.077405706903      -66.734458069147 (   5 * )
    4     0.0181535394     -4.070293184008      -66.727345546252 (   7 * )
    5     0.0255185436     -4.062928179732      -66.719980541976 (   9 * )
    6     0.0624476318     -4.025999091546      -66.683051453790 (   1 * )
    7     0.0668698411     -4.021576882305      -66.678629244548 (   9 * )
    8     0.0767455761     -4.011701147264      -66.668753509508 (  11 * )
    9     0.0791001722     -4.009346551168      -66.666398913412 (   3 * )
   10     0.0800661216     -4.008380601743      -66.665432963987 (   7 * )
   11     0.0829056284     -4.005541094912      -66.662593457156 (  13 * )
   12     0.0833051261     -4.005141597244      -66.662193959487 (   5 * )
   13     0.0889582461     -3.999488477209      -66.656540839453 (   9 * )
   14     0.0981529173     -3.990293806069      -66.647346168313 (   5 * )
   15     0.0990189374     -3.989427785952      -66.646480148196 (   9 * )
   16     0.1000048442     -3.988441879182      -66.645494241425 (   7 * )
   17     0.1076045799     -3.980842143435      -66.637894505679 (  11 * )
   18     0.1153382642     -3.973108459132      -66.630160821376 (   7 * )
   19     0.1167390280     -3.971707695341      -66.628760057585 (  13 * )
   20     0.1184121151     -3.970034608230      -66.627086970474 (   5 * )
   21     0.1225142726     -3.965932450737      -66.622984812980 (   3 * )
   22     0.1317856829     -3.956661040476      -66.613713402720 (   9 * )
   23     0.1410623390     -3.947384384309      -66.604436746553 (   1 * )
   24     0.1471085047     -3.941338218657      -66.598390580901 (   5 * )
   25     0.1592325691     -3.929214154237      -66.586266516480 (   7 * )
   26     0.1804156039     -3.908031119464      -66.565083481708 (   5 * )
   27     0.1848800752     -3.903566648117      -66.560619010361 (   9 * )
   28     0.1866704141     -3.901776309269      -66.558828671513 (   5 * )
   29     0.1899895113     -3.898457212062      -66.555509574306 (   7 * )
   30     0.1946618363     -3.893784887073      -66.550837249316 (   3 * )
   31     0.2023812354     -3.886065487922      -66.543117850165 (   1 * )
   32     0.2092295623     -3.879217161040      -66.536269523284 (   9 * )
   33     0.2715182072     -3.816928516206      -66.473980878449 (   5 * )
   34     0.3468798580     -3.741566865319      -66.398619227563 (   1 * )


 Total average:       -66.6314152711
