 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -6.577020474151      -65.983392321977 (   1 * )
    2     0.0053851257     -6.571635348425      -65.978007196251 (   3 * )
    3     0.0126980547     -6.564322419462      -65.970694267287 (   5 * )
    4     0.0206015023     -6.556418971889      -65.962790819714 (   7 * )
    5     0.0286369747     -6.548383499478      -65.954755347304 (   9 * )
    6     0.0690832397     -6.507937234466      -65.914309082291 (   1 * )
    7     0.0740719960     -6.502948478158      -65.909320325983 (   9 * )
    8     0.0852631561     -6.491757318056      -65.898129165882 (  11 * )
    9     0.0879306796     -6.489089794590      -65.895461642415 (   3 * )
   10     0.0886801832     -6.488340290908      -65.894712138734 (   7 * )
   11     0.0920465337     -6.484973940418      -65.891345788243 (  13 * )
   12     0.0923989506     -6.484621523509      -65.890993371334 (   5 * )
   13     0.0988261410     -6.478194333175      -65.884566181000 (   9 * )
   14     0.1090317998     -6.467988674378      -65.874360522204 (   5 * )
   15     0.1098286537     -6.467191820489      -65.873563668314 (   9 * )
   16     0.1112233279     -6.465797146290      -65.872168994115 (   7 * )
   17     0.1194088640     -6.457611610186      -65.863983458011 (  11 * )
   18     0.1272066424     -6.449813831708      -65.856185679533 (   7 * )
   19     0.1297163568     -6.447304117385      -65.853675965210 (  13 * )
   20     0.1310741418     -6.445946332385      -65.852318180210 (   5 * )
   21     0.1357011282     -6.441319345946      -65.847691193772 (   3 * )
   22     0.1465945560     -6.430425918181      -65.836797766007 (   9 * )
   23     0.1566070824     -6.420413391740      -65.826785239565 (   1 * )
   24     0.1629735954     -6.414046878725      -65.820418726550 (   5 * )
   25     0.1758177595     -6.401202714680      -65.807574562505 (   7 * )
   26     0.1985701272     -6.378450346956      -65.784822194781 (   5 * )
   27     0.2034913488     -6.373529125392      -65.779900973218 (   9 * )
   28     0.2063844948     -6.370635979360      -65.777007827185 (   5 * )
   29     0.2099048280     -6.367115646163      -65.773487493988 (   7 * )
   30     0.2149045843     -6.362115889881      -65.768487737706 (   3 * )
   31     0.2236368955     -6.353383578614      -65.759755426439 (   1 * )
   32     0.2310220742     -6.345998399914      -65.752370247740 (   9 * )
   33     0.2987716290     -6.278248845123      -65.684620692948 (   5 * )
   34     0.3818103409     -6.195210133228      -65.601581981053 (   1 * )


 Total average:       -65.8570922683
