 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.402410981144      -66.812563639009 (   7 * )
    2     0.0996901394     -7.302720841761      -66.712873499627 (   5 * )
    3     0.1005255284     -7.301885452771      -66.712038110637 (   5 * )
    4     0.1011587414     -7.301252239790      -66.711404897656 (   7 * )
    5     0.1021400269     -7.300270954224      -66.710423612090 (   9 * )
    6     0.1026859771     -7.299725004068      -66.709877661934 (  13 * )
    7     0.1027802177     -7.299630763404      -66.709783421270 (  11 * )
    8     0.1089732824     -7.293437698749      -66.703590356615 (   7 * )
    9     0.1116675655     -7.290743415664      -66.700896073530 (   5 * )
   10     0.1132438809     -7.289167100235      -66.699319758101 (   3 * )
   11     0.1221398503     -7.280271130831      -66.690423788697 (   9 * )
   12     0.1232799861     -7.279130995050      -66.689283652916 (   1 * )
   13     0.1263042279     -7.276106753216      -66.686259411082 (   3 * )
   14     0.1285197923     -7.273891188862      -66.684043846728 (   7 * )
   15     0.1289043952     -7.273506585958      -66.683659243824 (   5 * )
   16     0.1547211664     -7.247689814736      -66.657842472602 (  11 * )
   17     0.1551932888     -7.247217692349      -66.657370350215 (  13 * )
   18     0.1561395493     -7.246271431890      -66.656424089756 (   3 * )
   19     0.1567496072     -7.245661373985      -66.655814031851 (   5 * )
   20     0.1572837998     -7.245127181327      -66.655279839193 (  15 * )
   21     0.1587266877     -7.243684293403      -66.653836951269 (   7 * )
   22     0.1594779712     -7.242933009991      -66.653085667857 (  11 * )
   23     0.1602583602     -7.242152620986      -66.652305278852 (   9 * )
   24     0.1625895032     -7.239821477937      -66.649974135803 (   7 * )
   25     0.1656587347     -7.236752246477      -66.646904904343 (   5 * )
   26     0.1664914121     -7.235919569030      -66.646072226896 (   9 * )
   27     0.1709089375     -7.231502043679      -66.641654701545 (  11 * )
   28     0.1717817995     -7.230629181662      -66.640781839528 (   7 * )
   29     0.1752965589     -7.227114422271      -66.637267080137 (   3 * )
   30     0.1805877809     -7.221823200273      -66.631975858139 (   5 * )
   31     0.1811179419     -7.221293039280      -66.631445697146 (   9 * )
   32     0.1830579479     -7.219353033288      -66.629505691154 (   3 * )
   33     0.1834485630     -7.218962418144      -66.629115076010 (  13 * )
   34     0.1834943510     -7.218916630137      -66.629069288003 (   9 * )
   35     0.1841729308     -7.218238050375      -66.628390708241 (   5 * )
   36     0.1842406490     -7.218170332191      -66.628322990057 (  11 * )
   37     0.1844614369     -7.217949544255      -66.628102202121 (   1 * )
   38     0.1850100892     -7.217400891917      -66.627553549783 (   7 * )
   39     0.1891806368     -7.213230344336      -66.623383002202 (   7 * )
   40     0.1941794159     -7.208231565203      -66.618384223069 (   9 * )
   41     0.1948023386     -7.207608642541      -66.617761300407 (   7 * )
   42     0.1963467739     -7.206064207289      -66.616216865155 (   5 * )
   43     0.1968313570     -7.205579624137      -66.615732282003 (   3 * )
   44     0.1968685422     -7.205542438950      -66.615695096816 (  11 * )
   45     0.1987142246     -7.203696756552      -66.613849414418 (  13 * )
   46     0.2006218577     -7.201789123491      -66.611941781357 (   7 * )
   47     0.2014796922     -7.200931288956      -66.611083946822 (   5 * )
   48     0.2020309800     -7.200380001188      -66.610532659054 (   9 * )
   49     0.2174710715     -7.184939909620      -66.595092567486 (   5 * )
   50     0.2188488402     -7.183562140918      -66.593714798784 (   3 * )
   51     0.2194407876     -7.182970193512      -66.593122851378 (   7 * )
   52     0.2198241232     -7.182586857973      -66.592739515839 (   9 * )
   53     0.2242713347     -7.178139646421      -66.588292304287 (  11 * )
   54     0.2249020427     -7.177508938437      -66.587661596303 (   7 * )
   55     0.2326660372     -7.169744943934      -66.579897601800 (   5 * )
   56     0.2360260040     -7.166384977172      -66.576537635038 (   7 * )
   57     0.2364445972     -7.165966383952      -66.576119041818 (   9 * )
   58     0.2391376598     -7.163273321324      -66.573425979190 (   3 * )
   59     0.2398882888     -7.162522692363      -66.572675350229 (   5 * )
   60     0.2462566064     -7.156154374737      -66.566307032603 (   7 * )
   61     0.2520737182     -7.150337262991      -66.560489920857 (   1 * )
   62     0.2593790876     -7.143031893534      -66.553184551400 (  11 * )
   63     0.2604957218     -7.141915259347      -66.552067917213 (   9 * )
   64     0.2616441655     -7.140766815675      -66.550919473541 (   7 * )
   65     0.2736983394     -7.128712641737      -66.538865299603 (   5 * )
   66     0.2934187975     -7.108992183687      -66.519144841553 (   9 * )
   67     0.3064706249     -7.095940356279      -66.506093014145 (   5 * )
   68     0.3077361485     -7.094674832672      -66.504827490538 (   3 * )
   69     0.3095725305     -7.092838450634      -66.502991108500 (   1 * )
   70     0.3289640263     -7.073446954841      -66.483599612707 (   3 * )
   71     0.3317395833     -7.070671397876      -66.480824055742 (   7 * )
   72     0.3327962538     -7.069614727367      -66.479767385233 (   5 * )
   73     0.3446983081     -7.057712673069      -66.467865330935 (   3 * )
   74     0.3655549986     -7.036855982495      -66.447008640361 (   5 * )


 Total average:       -66.6242329341
