 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -4.085159085665      -66.781454459676 (   1 * )
    2     0.0035797125     -4.081579373134      -66.777874747145 (   3 * )
    3     0.0089688264     -4.076190259240      -66.772485633252 (   5 * )
    4     0.0152303380     -4.069928747692      -66.766224121704 (   7 * )
    5     0.0219747620     -4.063184323693      -66.759479697705 (   9 * )
    6     0.0620629047     -4.023096180975      -66.719391554987 (   1 * )
    7     0.0657637235     -4.019395362177      -66.715690736189 (   9 * )
    8     0.0739602453     -4.011198840393      -66.707494214405 (  11 * )
    9     0.0765045846     -4.008654501053      -66.704949875065 (   3 * )
   10     0.0782408378     -4.006918247912      -66.703213621924 (   7 * )
   11     0.0795338902     -4.005625195440      -66.701920569452 (  13 * )
   12     0.0810164966     -4.004142589085      -66.700437963096 (   5 * )
   13     0.0852585088     -3.999900576852      -66.696195950863 (   9 * )
   14     0.0940122999     -3.991146785809      -66.687442159820 (   5 * )
   15     0.0955147853     -3.989644300399      -66.685939674410 (   7 * )
   16     0.0955323058     -3.989626779909      -66.685922153920 (   9 * )
   17     0.1023856622     -3.982773423420      -66.679068797432 (  11 * )
   18     0.1120305075     -3.973128578177      -66.669423952188 (  13 * )
   19     0.1124269480     -3.972732137625      -66.669027511636 (   7 * )
   20     0.1146791332     -3.970479952489      -66.666775326500 (   5 * )
   21     0.1181403877     -3.967018697916      -66.663314071928 (   3 * )
   22     0.1253504487     -3.959808637005      -66.656104011016 (   9 * )
   23     0.1359512346     -3.949207851020      -66.645503225031 (   1 * )
   24     0.1421723460     -3.942986739685      -66.639282113696 (   5 * )
   25     0.1551855140     -3.929973571668      -66.626268945680 (   7 * )
   26     0.1770238944     -3.908135191294      -66.604430565305 (   5 * )
   27     0.1809485523     -3.904210533324      -66.600505907336 (   9 * )
   28     0.1818235735     -3.903335512213      -66.599630886224 (   5 * )
   29     0.1848458213     -3.900313264378      -66.596608638389 (   7 * )
   30     0.1894749452     -3.895684140500      -66.591979514511 (   3 * )
   31     0.1963327067     -3.888826378933      -66.585121752944 (   1 * )
   32     0.2045133655     -3.880645720188      -66.576941094199 (   9 * )
   33     0.2670811109     -3.818077974807      -66.514373348818 (   5 * )
   34     0.3420693389     -3.743089746715      -66.439385120726 (   1 * )


 Total average:       -66.6711319342
