 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.124148347468      -66.567601144068 (   2 * )
    2     0.0035317191     -7.120616628392      -66.564069424992 (   2 * )
    3     0.0035317318     -7.120616615712      -66.564069412312 (   2 * )
    4     0.0085459400     -7.115602407492      -66.559055204093 (   4 * )
    5     0.0085459421     -7.115602405386      -66.559055201986 (   2 * )
    6     0.0144778059     -7.109670541613      -66.553123338213 (   2 * )
    7     0.0144778101     -7.109670537356      -66.553123333956 (   2 * )
    8     0.0144778129     -7.109670534524      -66.553123331124 (   2 * )
    9     0.0144778144     -7.109670533110      -66.553123329710 (   2 * )
   10     0.0210364408     -7.103111906652      -66.546564703253 (   2 * )
   11     0.0210364497     -7.103111897816      -66.546564694416 (   2 * )
   12     0.0210364563     -7.103111891191      -66.546564687791 (   2 * )
   13     0.0210364607     -7.103111886776      -66.546564683376 (   2 * )
   14     0.0210364629     -7.103111884568      -66.546564681168 (   2 * )
   15     0.0826830679     -7.041465279526      -66.484918076126 (   2 * )
   16     0.0875010592     -7.036647288250      -66.480100084851 (   2 * )
   17     0.0875010701     -7.036647277416      -66.480100074017 (   2 * )
   18     0.0875010917     -7.036647255747      -66.480100052348 (   2 * )
   19     0.0875011242     -7.036647223241      -66.480100019841 (   2 * )
   20     0.0898596150     -7.034288732464      -66.477741529064 (   2 * )
   21     0.0898596212     -7.034288726255      -66.477741522856 (   2 * )
   22     0.0898596336     -7.034288713837      -66.477741510437 (   2 * )
   23     0.0898596523     -7.034288695207      -66.477741491808 (   2 * )
   24     0.0898596771     -7.034288670363      -66.477741466964 (   2 * )
   25     0.0916772070     -7.032471140487      -66.475923937088 (   2 * )
   26     0.0916772456     -7.032471101914      -66.475923898514 (   2 * )
   27     0.0931923665     -7.030955980985      -66.474408777586 (   2 * )
   28     0.0950873907     -7.029060956781      -66.472513753381 (   2 * )
   29     0.0950873938     -7.029060953681      -66.472513750281 (   2 * )
   30     0.0950874000     -7.029060947480      -66.472513744080 (   2 * )
   31     0.0950874093     -7.029060938178      -66.472513734778 (   2 * )
   32     0.0950874217     -7.029060925774      -66.472513722375 (   2 * )
   33     0.0950874372     -7.029060910268      -66.472513706868 (   2 * )
   34     0.0966510146     -7.027497332862      -66.470950129462 (   2 * )
   35     0.0966510265     -7.027497320992      -66.470950117592 (   2 * )
   36     0.0966510502     -7.027497297265      -66.470950093865 (   2 * )
   37     0.1000951066     -7.024053240900      -66.467506037500 (   4 * )
   38     0.1000951079     -7.024053239599      -66.467506036199 (   2 * )
   39     0.1000951094     -7.024053238038      -66.467506034638 (   2 * )
   40     0.1000951115     -7.024053235957      -66.467506032557 (   2 * )
   41     0.1000951141     -7.024053233355      -66.467506029955 (   2 * )
   42     0.1000951172     -7.024053230233      -66.467506026833 (   2 * )
   43     0.1007251531     -7.023423194381      -66.466875990982 (   2 * )
   44     0.1007251662     -7.023423181297      -66.466875977897 (   2 * )
   45     0.1007251749     -7.023423172581      -66.466875969181 (   2 * )
   46     0.1007251792     -7.023423168225      -66.466875964825 (   2 * )
   47     0.1008685856     -7.023279761861      -66.466732558461 (   2 * )
   48     0.1008685922     -7.023279755281      -66.466732551882 (   2 * )
   49     0.1052045711     -7.018943776346      -66.462396572947 (   2 * )
   50     0.1052046583     -7.018943689200      -66.462396485800 (   2 * )
   51     0.1052047018     -7.018943645644      -66.462396442244 (   2 * )
   52     0.1054171004     -7.018731247067      -66.462184043668 (   2 * )
   53     0.1054171554     -7.018731192042      -66.462183988642 (   2 * )
   54     0.1055233856     -7.018624961855      -66.462077758455 (   2 * )
   55     0.1055233952     -7.018624952263      -66.462077748864 (   2 * )
   56     0.1055234024     -7.018624945069      -66.462077741670 (   2 * )
   57     0.1055234072     -7.018624940273      -66.462077736873 (   2 * )
   58     0.1055234096     -7.018624937875      -66.462077734475 (   2 * )
   59     0.1116647540     -7.012483593494      -66.455936390095 (   2 * )
   60     0.1116647968     -7.012483550648      -66.455936347248 (   2 * )
   61     0.1116648254     -7.012483522092      -66.455936318692 (   2 * )
   62     0.1116648397     -7.012483507817      -66.455936304417 (   2 * )
   63     0.1125644832     -7.011583864299      -66.455036660899 (   2 * )
   64     0.1125645137     -7.011583833798      -66.455036630399 (   2 * )
   65     0.1125645747     -7.011583772790      -66.455036569390 (   2 * )
   66     0.1164022788     -7.007746068707      -66.451198865308 (   2 * )
   67     0.1164023019     -7.007746045576      -66.451198842177 (   2 * )
   68     0.1164023481     -7.007745999319      -66.451198795919 (   2 * )
   69     0.1185701388     -7.005578208646      -66.449031005246 (   2 * )
   70     0.1185701509     -7.005578196541      -66.449030993141 (   2 * )
   71     0.1185701751     -7.005578172328      -66.449030968928 (   2 * )
   72     0.1185702115     -7.005578136003      -66.449030932604 (   2 * )
   73     0.1196279100     -7.004520437458      -66.447973234058 (   2 * )
   74     0.1196279175     -7.004520430013      -66.447973226613 (   2 * )
   75     0.1196279323     -7.004520415124      -66.447973211724 (   2 * )
   76     0.1196279547     -7.004520392791      -66.447973189391 (   2 * )
   77     0.1196279845     -7.004520363014      -66.447973159614 (   2 * )
   78     0.1216289597     -7.002519387726      -66.445972184326 (   2 * )
   79     0.1216289625     -7.002519385006      -66.445972181607 (   2 * )
   80     0.1216289679     -7.002519379567      -66.445972176167 (   2 * )
   81     0.1216289761     -7.002519371408      -66.445972168008 (   2 * )
   82     0.1216289869     -7.002519360530      -66.445972157130 (   2 * )
   83     0.1216290005     -7.002519346932      -66.445972143533 (   2 * )
   84     0.1343214588     -6.989826888638      -66.433279685238 (   2 * )
   85     0.1343215144     -6.989826833084      -66.433279629684 (   2 * )
   86     0.1343215514     -6.989826796047      -66.433279592647 (   2 * )
   87     0.1343215699     -6.989826777528      -66.433279574129 (   2 * )
   88     0.1352801088     -6.988868238664      -66.432321035265 (   2 * )
   89     0.1368085966     -6.987339750904      -66.430792547504 (   2 * )
   90     0.1368086295     -6.987339717954      -66.430792514555 (   2 * )
   91     0.1368086460     -6.987339701472      -66.430792498072 (   2 * )
   92     0.1374383044     -6.986710043048      -66.430162839648 (   2 * )
   93     0.1374383072     -6.986710040246      -66.430162836846 (   2 * )
   94     0.1430407732     -6.981107574303      -66.424560370903 (   2 * )
   95     0.1430408365     -6.981107510976      -66.424560307576 (   2 * )
   96     0.1430408840     -6.981107463481      -66.424560260082 (   2 * )
   97     0.1430409156     -6.981107431819      -66.424560228419 (   2 * )
   98     0.1430409315     -6.981107415987      -66.424560212588 (   2 * )
   99     0.1446672265     -6.979481121007      -66.422933917607 (   2 * )
  100     0.1446672282     -6.979481119263      -66.422933915863 (   2 * )
  101     0.1446672317     -6.979481115774      -66.422933912374 (   2 * )
  102     0.1446672369     -6.979481110540      -66.422933907140 (   2 * )
  103     0.1446672439     -6.979481103560      -66.422933900160 (   2 * )
