                                                  

        SCF,CCSD
   -145.44611480,   -146.28634645
   -145.45044044,   -146.33422014
   -145.33321600,   -146.14772340
   -145.30170763,   -146.14390825
   -145.21285213,   -146.00739560
   -145.04333187,   -145.82441844
   -144.47852018,   -145.21169488
   -143.26238514,   -143.93237628
   -141.47591726,   -142.08984458
   -139.07787666,   -139.64026700
   -136.08285455,   -136.58512441
   -132.16447520,   -132.64150953
   -127.57427228,   -128.01635497
   -122.23238417,   -122.64117480
   -116.11145123,   -116.48789157
   -109.24368426,   -109.57735178
    -76.78375540,    -76.95079909
    -35.35096243,    -35.42273550
                                                  
