                                                  

        SCF,CCSD
   -146.05517886,   -146.92050955
   -146.05967379,   -146.96887092
   -145.94242160,   -146.78214532
   -145.91405896,   -146.77934699
   -145.82186058,   -146.64140420
   -145.65582570,   -146.45978716
   -145.09162371,   -145.84784046
   -143.87931998,   -144.57020076
   -142.09560227,   -142.72778135
   -139.69856550,   -140.27606180
   -136.70246874,   -137.21658673
   -132.77837998,   -133.26564056
   -128.17907532,   -128.62971033
   -122.82404389,   -123.23966859
   -116.68565575,   -117.06710849
   -109.79617277,   -110.13280097
    -77.10563296,    -77.27296037
    -35.49482223,    -35.56635068
                                                  
