                                                  

        SCF,CCSD
   -146.05515118,   -146.88889064
   -146.05958913,   -146.93706007
   -145.94239296,   -146.75054173
   -145.91403163,   -146.74912187
   -145.82183200,   -146.60990920
   -145.65579785,   -146.42980015
   -145.09159536,   -145.81803113
   -143.87929345,   -144.54253113
   -142.09557610,   -142.70292698
   -139.69853794,   -140.25466653
   -136.70243911,   -137.19882269
   -132.77834807,   -133.24994531
   -128.17904107,   -128.61611257
   -122.82400723,   -123.22819730
   -116.68561661,   -117.05781892
   -109.79613111,   -110.12588415
    -77.10560869,    -77.27132206
    -35.49482235,    -35.56622673
                                                  
