                                                  

        SCF,CCSD
   -146.05489387,   -146.82329731
   -146.05926879,   -146.87058200
   -145.94213404,   -146.68523854
   -145.91377817,   -146.68660708
   -145.82157517,   -146.54522566
   -145.65554830,   -146.36827467
   -145.09135430,   -145.75731534
   -143.87903142,   -144.48627542
   -142.09528554,   -142.65191402
   -139.69821092,   -140.20978285
   -136.70205833,   -137.16064890
   -132.77795096,   -133.21703916
   -128.17866600,   -128.58858336
   -122.82370806,   -123.20644878
   -116.68543902,   -117.04222124
   -109.79610031,   -110.11591115
    -77.10559183,    -77.26940802
    -35.49478768,    -35.56592880
                                                  
