                                                  

        SCF,CCSD
   -145.41643185,   -146.29084189
   -145.42045452,   -146.33793813
   -145.30539231,   -146.15444404
   -145.25467071,   -146.14452720
   -145.18540154,   -146.01463575
   -144.92075581,   -145.82534398
   -144.45353141,   -145.21946784
   -143.24029232,   -143.94071203
   -141.45706262,   -142.09840698
   -139.06234212,   -139.64848455
   -136.07027005,   -136.59245143
   -132.15539542,   -132.64998953
   -127.56778302,   -128.02501347
   -122.22736735,   -122.64883016
   -116.10640733,   -116.49293935
   -109.23636572,   -109.57735204
    -76.78341251,    -76.95237673
    -35.35289524,    -35.42477494
                                                  
