                                                  

        SCF,CCSD
   -145.41610229,   -146.19457175
   -145.41999351,   -146.24060279
   -145.30506351,   -146.05848189
   -145.26960260,   -146.05268105
   -145.18507502,   -145.91939977
   -145.01293161,   -145.73701078
   -144.45322298,   -145.12992980
   -143.23996509,   -143.85781119
   -141.45670589,   -142.02358426
   -139.06194604,   -139.58324985
   -136.06981728,   -136.53754571
   -132.15492544,   -132.60240183
   -127.56733516,   -127.98488364
   -122.22699640,   -122.61657236
   -116.10615964,   -116.46894777
   -109.23626622,   -109.56129000
    -76.78331779,    -76.94894974
    -35.35276219,    -35.42427806
                                                  
