                                                  

         SCF,CCSD
   -5312.913763,   -5314.851974
   -5312.918088,   -5314.900064
   -5312.801226,   -5314.713506
   -5312.771836,   -5314.710334
   -5312.680843,   -5314.573012
   -5312.513798,   -5314.390986
   -5311.950153,   -5313.779218
   -5310.735919,   -5312.500601
   -5308.950871,   -5310.658606
   -5306.553192,   -5308.208924
   -5303.553795,   -5305.150024
   -5299.640827,   -5301.210690
   -5295.050666,   -5296.585665
   -5289.705207,   -5291.207539
   -5283.575762,   -5285.046943
   -5276.688844,   -5278.120041
   -5244.073185,   -5245.328621
   -5202.413827,   -5203.546875
                                                  
