                                                  

         SCF,CCSD
   -5312.902040,   -5314.639800
   -5312.906303,   -5314.687037
   -5312.789497,   -5314.501609
   -5312.759966,   -5314.501393
   -5312.669115,   -5314.361712
   -5312.502090,   -5314.182979
   -5311.938449,   -5313.572006
   -5310.724197,   -5312.298035
   -5308.939115,   -5310.461516
   -5306.541397,   -5308.018247
   -5303.541954,   -5304.966461
   -5299.628999,   -5301.032926
   -5295.038907,   -5296.413992
   -5289.693589,   -5291.042456
   -5283.564344,   -5284.888892
   -5276.677661,   -5277.968720
   -5244.062027,   -5245.188653
   -5202.402765,   -5203.413755
                                                  
