                                                  

        SCF,CCSD
   -146.05296804,   -146.91008240
   -146.05744789,   -146.95833070
   -145.94037976,   -146.77196395
   -145.90833091,   -146.76605299
   -145.81975329,   -146.63119050
   -145.65014001,   -146.44653288
   -145.08609351,   -145.83483983
   -143.87041657,   -144.55431962
   -142.08374589,   -142.70940174
   -139.68470242,   -140.25609181
   -136.68816612,   -137.19655106
   -132.76491616,   -133.24672955
   -128.16940037,   -128.61499269
   -122.82191405,   -123.23293147
   -116.69574536,   -117.07301909
   -109.82405210,   -110.15722853
    -77.11624670,    -77.28129286
    -35.50642864,    -35.57731440
                                                  
