                                                  

        SCF,CCSD
   -146.05292526,   -146.87820090
   -146.05734785,   -146.92625976
   -145.94033596,   -146.74009479
   -145.90828853,   -146.73558002
   -145.81970950,   -146.59942825
   -145.65009708,   -146.41629524
   -145.08605017,   -145.80477556
   -143.87037556,   -144.52641040
   -142.08370569,   -142.68433142
   -139.68466106,   -140.23451552
   -136.68812268,   -137.17864418
   -132.76487027,   -133.23091073
   -128.16935185,   -128.60128938
   -122.82186274,   -123.22137072
   -116.69569108,   -117.06365430
   -109.82399468,   -110.15024699
    -77.11621202,    -77.27963327
    -35.50642813,    -35.57718788
                                                  
