                                                  

        SCF,CCSD
   -146.05266162,   -146.81213629
   -146.05702044,   -146.85931526
   -145.94007147,   -146.67432032
   -145.90802704,   -146.67261420
   -145.81944726,   -146.53427035
   -145.64984017,   -146.35431982
   -145.08580234,   -145.74361084
   -143.87010552,   -144.46972849
   -142.08340647,   -142.63291883
   -139.68432498,   -140.18926327
   -136.68773217,   -137.14012492
   -132.76446172,   -133.19766160
   -128.16896279,   -128.57341494
   -122.82154662,   -123.19928640
   -116.69549396,   -117.04774729
   -109.82394272,   -110.13999482
    -77.11616587,    -77.27759534
    -35.50634973,    -35.57683383
                                                  
