                                                  

        SCF,CCSD
   -146.11790853,   -146.91585377
   -146.12226355,   -146.96404994
   -146.00519733,   -146.77764836
   -145.97507969,   -146.77329692
   -145.88480791,   -146.63734138
   -145.71686736,   -146.45383334
   -145.15246281,   -145.84214922
   -143.93696522,   -144.56288826
   -142.14889727,   -142.71843879
   -139.74638815,   -140.26438515
   -136.74383020,   -137.20346819
   -132.81179502,   -133.24917895
   -128.20363077,   -128.61095287
   -122.83876213,   -123.21884128
   -116.68959155,   -117.04448204
   -109.78850452,   -110.11024290
    -77.12225370,    -77.28532126
    -35.50535821,    -35.57701842
                                                  
