                                                  

        SCF,CCSD
   -146.11788419,   -146.88350200
   -146.12218155,   -146.93150329
   -146.00517198,   -146.74531658
   -145.97505564,   -146.74232370
   -145.88478258,   -146.60511923
   -145.71684270,   -146.42310095
   -145.15243758,   -145.81160166
   -143.93694170,   -144.53447126
   -142.14887399,   -142.69282039
   -139.74636338,   -140.24219851
   -136.74380329,   -137.18490187
   -132.81176583,   -133.23266203
   -128.20359930,   -128.59654766
   -122.83872837,   -123.20660298
   -116.68955564,   -117.03450336
   -109.78846626,   -110.10278719
    -77.12223222,    -77.28348890
    -35.50535847,    -35.57688191
                                                  
