                                                  

        SCF,CCSD
   -146.11761290,   -146.82075035
   -146.12184663,   -146.86785126
   -146.00489879,   -146.68288125
   -145.97478872,   -146.68258827
   -145.88451174,   -146.54330481
   -145.71657943,   -146.36437274
   -145.15218254,   -145.75371192
   -143.93666561,   -144.48096752
   -142.14856881,   -142.64443433
   -139.74602052,   -140.19975038
   -136.74340568,   -137.14893452
   -132.81135172,   -133.20181876
   -128.20320752,   -128.57090923
   -122.83841286,   -123.18653157
   -116.68936170,   -117.02031146
   -109.78841912,   -110.09388136
    -77.12221780,    -77.28194427
    -35.50534900,    -35.57664780
                                                  
