                                                  

        SCF,CCSD
   -146.11790853,   -146.97097284
   -146.12226355,   -147.01901783
   -146.00519733,   -146.83265129
   -145.97507969,   -146.82821232
   -145.88480791,   -146.69228132
   -145.71686736,   -146.50878063
   -145.15246265,   -145.89673731
   -143.93696522,   -144.61622222
   -142.14889727,   -142.76991210
   -139.74638815,   -140.31334503
   -136.74383020,   -137.24842616
   -132.81179502,   -133.29056076
   -128.20363077,   -128.64724221
   -122.83876213,   -123.24913563
   -116.68959155,   -117.06784776
   -109.78850452,   -110.12465839
    -77.12225370,    -77.28987406
    -35.50535821,    -35.57733353
                                                  
