                                                  

        SCF,CCSD
   -146.11761290,   -146.87428980
   -146.12184663,   -146.92126223
   -146.00489879,   -146.73628070
   -145.97475455,   -146.73598908
   -145.88451174,   -146.59663154
   -145.71550893,   -146.41783300
   -145.15218254,   -145.80674115
   -143.93666560,   -144.53281732
   -142.14856881,   -142.69454541
   -139.74602052,   -140.24753047
   -136.74340568,   -137.19289676
   -132.81135172,   -133.24231389
   -128.20320752,   -128.60640135
   -122.83841286,   -123.21613036
   -116.68936170,   -117.04310458
   -109.78841912,   -110.10783663
    -77.12221780,    -77.28631406
    -35.50534900,    -35.57693710
                                                  
