                                                  

        SCF,CCSD
   -146.08797677,   -146.94898853
   -146.09256328,   -146.99753470
   -145.97501864,   -146.81045446
   -145.94453854,   -146.80614817
   -145.85423379,   -146.66937711
   -145.68588580,   -146.48599004
   -145.12096332,   -145.87325301
   -143.90577438,   -144.59304007
   -142.11970154,   -142.74854136
   -139.72137140,   -140.29576698
   -136.72566311,   -137.23685070
   -132.80344704,   -133.28790690
   -128.20909125,   -128.65714190
   -122.86289328,   -123.27616312
   -116.73813352,   -117.11743492
   -109.86795325,   -110.20286517
    -77.17488567,    -77.34056632
    -35.54379810,    -35.61487977
                                                  
