                                                  

        SCF,CCSD
   -146.08058906,   -146.94408431
   -146.08514914,   -146.99252664
   -145.96773152,   -146.80566754
   -145.93705852,   -146.80106537
   -145.84702028,   -146.66471517
   -145.67857505,   -146.48116576
   -145.11400461,   -145.86884464
   -143.89906714,   -144.58883909
   -142.11319041,   -142.74445882
   -139.71494534,   -140.29165562
   -136.71916726,   -137.23245955
   -132.79659594,   -133.28298375
   -128.20158942,   -128.65129067
   -122.85437035,   -123.26896644
   -116.72815968,   -117.10842323
   -109.85607155,   -110.19145542
    -77.16033948,    -77.32607623
    -35.54053873,    -35.61136525
                                                  
