                                                  

        SCF,CCSD
   -146.08054616,   -146.91245395
   -146.08504968,   -146.96070684
   -145.96768756,   -146.77405065
   -145.93701598,   -146.77084118
   -145.84697632,   -146.63320539
   -145.67853192,   -146.45117801
   -145.11396103,   -145.83903224
   -143.89902587,   -144.56117951
   -142.11314991,   -142.71963486
   -139.71490362,   -140.27032087
   -136.71912342,   -137.21478451
   -132.79654960,   -133.26739109
   -128.20154043,   -128.63780109
   -122.85431855,   -123.25760278
   -116.72810494,   -117.09923431
   -109.85601371,   -110.18461669
    -77.16030498,    -77.32445747
    -35.54053830,    -35.61124002
                                                  
