                                                  

        SCF,CCSD
   -146.09092970,   -146.86878900
   -146.09531507,   -146.91613349
   -145.97839384,   -146.73108780
   -145.94760774,   -146.73039608
   -145.85747187,   -146.59046933
   -145.68918171,   -146.41162502
   -145.12461146,   -145.80009615
   -143.90962684,   -144.52629586
   -142.12354585,   -142.68938064
   -139.72493037,   -140.24537707
   -136.72855053,   -137.19537478
   -132.80559402,   -133.25235058
   -128.20994453,   -128.62673842
   -122.86174261,   -123.25044632
   -116.73404079,   -117.09573580
   -109.85972057,   -110.18316838
    -77.19583621,    -77.36045510
    -35.53638357,    -35.60829398
                                                  
