                                                  

         SCF,CCSD
   -5312.916932,   -5313.741405
   -5312.921315,   -5313.789374
   -5312.804395,   -5313.603447
   -5312.775006,   -5313.596559
   -5312.684012,   -5313.463060
   -5312.516968,   -5313.277537
   -5311.953323,   -5312.666567
   -5310.739090,   -5311.385294
   -5308.954047,   -5309.539974
   -5306.556376,   -5307.086376
   -5303.556991,   -5304.024126
   -5299.644037,   -5300.081926
   -5295.053891,   -5295.454966
   -5289.708451,   -5290.075243
   -5283.579025,   -5283.913413
   -5276.692130,   -5276.986527
   -5244.076370,   -5244.220459
   -5202.416869,   -5202.479483
                                                  
