z,UC,BFD,MDFSTU,MWBSTU,CRENBS,SBKJC,LANL2,ccECP,AE
1.300000,0.034438,0.042806,0.024470,0.036089,0.045344,0.012513,0.012486,0.027245,0.021298
1.400000,-0.020472,-0.014379,-0.028834,-0.020464,-0.008009,-0.035255,-0.035153,-0.026267,-0.030182
1.500000,-0.054302,-0.050002,-0.062038,-0.055737,-0.042007,-0.064373,-0.064248,-0.058636,-0.061212
1.600000,-0.073682,-0.070701,-0.081053,-0.076185,-0.062444,-0.080551,-0.080466,-0.076679,-0.078422
1.700000,-0.083182,-0.081150,-0.090177,-0.086393,-0.073389,-0.087835,-0.087825,-0.085087,-0.086302
1.800000,-0.086022,-0.084641,-0.092519,-0.089613,-0.077723,-0.089086,-0.089170,-0.087077,-0.087932
1.900000,-0.084412,-0.083484,-0.090316,-0.088146,-0.077503,-0.086330,-0.086511,-0.084849,-0.085462
2.000000,-0.079912,-0.079301,-0.085166,-0.083618,-0.074213,-0.080998,-0.081272,-0.079922,-0.080342
2.100000,-0.073632,-0.073236,-0.078208,-0.077185,-0.068934,-0.074104,-0.074461,-0.073349,-0.073632
2.200000,-0.066342,-0.066096,-0.070255,-0.069667,-0.062457,-0.066369,-0.066795,-0.065871,-0.066032
