z,UC,MWBSTU,MDFSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.179000,-0.026894,-0.028324,-0.027538,-0.027919,-0.022888,-0.026352,-0.027852,-0.028040
1.229000,-0.048089,-0.049360,-0.048857,-0.048990,-0.044218,-0.047601,-0.048928,-0.049191
1.279000,-0.063555,-0.064706,-0.064440,-0.064351,-0.059840,-0.063107,-0.064298,-0.064623
1.329000,-0.074473,-0.075535,-0.075465,-0.075180,-0.070930,-0.074061,-0.075141,-0.075518
1.379000,-0.081776,-0.082773,-0.082866,-0.082410,-0.078414,-0.081396,-0.082388,-0.082805
1.429000,-0.086208,-0.087161,-0.087385,-0.086779,-0.083028,-0.085857,-0.086776,-0.087223
1.479000,-0.088367,-0.089284,-0.089624,-0.088885,-0.085361,-0.088037,-0.088901,-0.089365
1.529000,-0.088738,-0.089629,-0.090063,-0.089206,-0.085897,-0.088423,-0.089242,-0.089712
1.579000,-0.087715,-0.088590,-0.089103,-0.088140,-0.085026,-0.087409,-0.088192,-0.088660
1.629000,-0.085615,-0.086477,-0.087056,-0.085997,-0.083064,-0.085310,-0.086066,-0.086526
1.679000,-0.082692,-0.083545,-0.084184,-0.083033,-0.080265,-0.082381,-0.083117,-0.083564
