z,UC,MDFSTU,MWBSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.485000,0.006120,0.002961,0.002541,0.004280,0.010684,0.007148,0.004169,0.003957
1.535000,-0.023687,-0.026615,-0.026757,-0.025176,-0.019473,-0.022693,-0.025280,-0.025531
1.585000,-0.045041,-0.047744,-0.047666,-0.046214,-0.041154,-0.044058,-0.046314,-0.046638
1.635000,-0.059764,-0.062274,-0.062021,-0.060682,-0.056214,-0.058807,-0.060783,-0.061171
1.685000,-0.069397,-0.071708,-0.071323,-0.070079,-0.066153,-0.068445,-0.070182,-0.070622
1.735000,-0.075153,-0.077290,-0.076809,-0.075641,-0.072203,-0.074209,-0.075749,-0.076236
1.785000,-0.078020,-0.080008,-0.079456,-0.078346,-0.075342,-0.077083,-0.078461,-0.078980
1.835000,-0.078756,-0.080623,-0.080019,-0.078951,-0.076327,-0.077828,-0.079078,-0.079617
1.885000,-0.077910,-0.079684,-0.079041,-0.078002,-0.075705,-0.076994,-0.078139,-0.078694
1.935000,-0.075891,-0.077590,-0.076914,-0.075896,-0.073877,-0.074983,-0.076048,-0.076617
1.985000,-0.072989,-0.074634,-0.073932,-0.072928,-0.071141,-0.072093,-0.073092,-0.073658
