State     Ref    COSCI/AE      COSCI/STU   COSCI/ccECP   Expt.       FPSODMC/STU   FPSODMC/ccECP
GS        1      0.000000000   0.000000    0.000000      0.0000       0.000        0.000  
EA        0      0.034365082   0.096421    0.025679      0.942        0.98(1)      0.86(1)
IP        0      6.663719208   6.742799    6.777520      7.285516     7.26(1)      7.19(1)
IP2       0     22.621732769  22.674162   22.788667     23.988516    23.66(1)     23.73(1)
GS-mult   1      0.000000000   0.000000    0.000000      0.0000000    0.000        0.000  
{}        0      1.549686233   1.542632    1.585734      1.4157804    1.35(1)      1.39(2)
{}        0      2.140211240   2.129018    2.187295      1.9140062    1.84(1)      1.87(2)
{}        0      3.110861103   3.107930    3.204792      2.6856111    2.61(1)      2.71(2)
{}        0      4.488729240   4.428618    4.539373      4.1119118    4.00(1)      4.05(2)
IP-mult   1      0.000000000   0.000000    0.000000      0.000000     0.000        0.000  
{}        0      1.533596739   1.469322    1.483527      1.652139     1.51(1)      1.64(2)
{}        0      2.146269652   2.087054    2.126995      2.1116614    2.01(1)      2.14(2)
{}        0      4.307668636   4.180751    4.266622      4.2078647    4.00(1)      4.20(2)
{}        0      5.944721037   5.849278    6.012390      5.4768492    5.30(1)      5.43(2)
IP2-mult  1      0.000000000   0.000000    0.000000      0.000000     0.000        0.000  
{}        0      2.597823097   2.494106    2.540198      2.577406     2.46(1)      2.48(1)
IP2-d     1      0.000000001   0.000000    0.000000      0.000000     0.000        0.000  
{}        0      0.178519289   0.158127    0.178559      0.780057     0.17(1)      0.25(2)
IP2-f     1      0.000000015   0.000000    0.000000      0.000000     0.000        0.000  
{}        0      0.011770197   0.007710    0.013821      0.012385    -0.02(1)      0.04(1)

