State     Ref    COSCI/AE  COSCI/STU   COSCI/ccECP   Expt.       FPSODMC/STU   FPSODMC/ccECP
GS        1      0.000     0.000        0.000        0.000       0.000          0.000   
EA        0     -2.185    -2.207       -2.220       -3.060      -3.11(1)      -3.12(1) 
IP        0      9.413     9.404        9.459       10.451260   10.40(1)      10.41(2) 
IP2       0     27.262    27.165       27.320       29.58252    29.25(1)      29.50(3) 
GS-mult   1      0.000     0.000        0.000        0.00000     0.000          0.000   
{}        0      0.962     0.932        0.938        0.9426481   0.93(1)        0.94(2) 
IP-mult   1      0.000     0.000        0.000        0.00000     0.000          0.000   
{}        0      0.863     0.817        0.816        0.79944     0.77(1)        0.78(2) 
{}        0      0.869     0.850        0.851        0.8786621   0.80(1)        0.84(2) 
{}        0      1.999     2.028        2.039        1.70196     1.66(1)        1.71(2) 
{}        0      4.258     4.362        4.390        3.65770     3.74(1)        3.79(2) 
IP2-mult  1      0.000     0.000        0.000        0.00000     0.000          0.000   
{}        0      1.959     2.095        2.118        1.45193     1.69(1)        1.52(2) 
{}        0      2.348     2.449        2.467        1.84749     1.99(1)        1.77(2) 
{}        0      3.765     3.948        3.980        3.01267     3.25(1)        3.13(3) 
{}        0      4.375     4.491        4.513        3.67447     3.83(1)        3.73(3) 

