State            Ref  COSCI/AE  COSCI/STU  COSCI/ccECP  Expt.  FPSODMC/STU  FPSODMC/ccECP 
GS               1      0.000     0.000      0.000      0.000    0.00       0.00 
EA               0      0.120     0.120      0.081     -1.565   -1.23(3)   -1.28(3) 
EX               0      0.284     0.285      0.239      0.351    0.27(3)    0.24(3)
IP               0      6.997     6.985      6.993      8.967    8.63(4)    8.62(3)
IP2              0      23.29     23.27      23.30     26.0(3)  26.12(3)   26.11(3)
GS-mult          1      0.000     0.000      0.000      0.000    0.00       0.00   
{}               0      0.782     0.694      0.773      0.784    0.77(3)    0.83(3)
{}               0      1.075     0.995      1.079      0.717    1.07(3)    1.08(3)
{}               0      1.202     1.150      1.223      0.506    1.17(3)    1.22(3)
EX-mult          1      0.000     0.000      0.000      0.000    0.00       0.00
{}               0      0.512     0.474      0.510      0.530    0.46(3)    0.48(3)
{}               0      0.940     0.872      0.943      0.873    0.93(3)    0.89(3)
{}               0      1.084     1.028      1.094      1.115    1.05(3)    1.02(3)
IP-mult          1      0.000     0.000      0.000      0.000    0.00(4)    0.00
{}               0      0.596     0.541      0.593      0.594    0.54(4)    0.66(3)
{}               0      1.015     0.923      1.012      1.015    0.92(4)    1.04(3)
{}               0      1.241     1.145      1.244      1.402    1.14(4)    1.26(3)
{}               0      1.376     1.277      1.382      1.483    1.27(4)    1.43(3)
IP2-mult         1      0.000     0.000      0.000      0.000    0.00       0.00
{}               0      0.848     0.754      0.840       nan     0.75(3)    0.89(3)
{}               0      1.159     1.077      1.166       nan     1.11(3)    1.15(3)
{}               0      1.289     1.241      1.316       nan     1.19(3)    1.27(3)
P-EX-mult        1      0.000     0.000      0.000       nan     nan         nan
{}               0      3.601     3.585      3.570       nan     nan         nan
f-EX-mult        1      0.000     0.000      0.000       nan     nan         nan
{}               0      0.106     0.066      0.107       nan     nan         nan
P-EX-mult        1      0.000     0.000      0.000       nan     nan         nan
{}               0     16.084    15.915     16.198       nan     nan         nan







