State     Ref   COSCI/AE    COSCI/STU    COSCI/ccECP    Expt.      FPSODMC/STU  FPSODMC/ccECP 
GS        1     0.000000     0.000000     0.000         0.000        0.000000     0.000   
EA        0     0.693046     0.700247     0.700225     -0.7473       0.458167    -0.080956
EX        0     2.188739     2.256288     2.228095      1.3596041    2.536712     2.095746
IP        0     8.273936     7.644493     8.351472      7.09243      7.716461     7.255858
IP2       0    21.200021    21.256525    21.224384     23.25243     23.713253    23.002997
GS-mult   1     0.00000      0.000000     0.000         0.000        0.000        0.000   
{}        0     1.869785     1.878987     1.878892      1.3351030    1.693865     1.573014
{}        0     2.724701     2.790347     2.787805      2.0632311    2.717752     2.429042
EX-mult   1     0.000000     0.000000     0.000         0.000        0.000000     0.000   
{}        0     0.024310     0.018880     0.019436      0.021925     0.162522    -0.006535
{}        0     0.069794     0.054924     0.056482      0.0605558    0.111308    -0.027419
{}        0     0.132512     0.105750     0.108626      0.1106623    0.393271    -0.050255
{}        0     0.209187     0.169122     0.173536      0.1711395    0.254262     0.106110
IP-mult   1     0.000        0.000000     0.000         0.000        0.000000     0.000   
{}        0     0.062731     0.570034     0.053964      1.884467     2.141782     1.882843
{}        0     0.195043     1.161285     0.165494      1.900747     2.097338     1.951754
{}        0     0.431071     1.203707     0.349204      1.912795     2.172559     1.908967
{}        0     0.726400     1.296475     0.745997      1.915180     2.256595     2.079263
IP2-mult  1     0.000        00000        0.000         0.000        0.000000     0.000   
{}        0     0.026470     0.020694     0.021308      0.030009     0.073273     0.046137
{}        0     0.075731     0.060030     0.061741      0.082851     0.038731     0.068675
{}        0     0.143306     0.115214     0.118350      0.151752     0.016695     0.143941
{}        0     0.225508     0.183661     0.188446      0.232137     0.120015     0.306456
P-EX-mult 1     0.000000     0.000000     0.000          nan         0.00000      0.000   
{}        0     0.563768     0.466689     0.569381       nan         0.460331     0.290617
P-EX-mult 1     0.000000     0.000000     0.000          nan         0.000        0.000   
{}        0     2.947675     2.898154     2.961037       nan         nan          nan    
