State     Ref    COSCI/AE  COSCI/STU   COSCI/ccECP   Expt.       FPSODMC/STU   FPSODMC/ccECP
GS        1      0.000     0.000        0.000         0.000       0.000       0.000     
EA        0      0.236     0.227        0.228        -0.562      -0.23(3)    -0.20(2)   
EX	  0 	-0.067    -0.055       -0.031         0.814       1.03(2)     1.04(2)  
IP        0      6.273     6.282        6.317         8.337       8.29(2)     8.31(2)   
IP2       0      23.662    23.628      23.740         27.77      27.51(2)    27.65(2)   
EX-mult   1      0.000     0.000        0.000         0.000       0.000       0.000    
{}        0      0.175     0.165        0.183         0.148       0.17(2)     0.14(2)   
IP-mult   1      0.000     0.000        0.000         0.000       0.000       0.000    
{}        0      0.436     0.394        0.474         0.439       0.46(3)     0.47(2)  
IP2-mult  1      0.000     0.000        0.000         0.000       0.000       0.000    
{}        0      0.394     0.353        0.409         0.400       0.30(2)     0.35(2)  
{}        0      0.604     0.554        0.628         0.581       0.56(2)     0.64(2)  
S2P1-mult 1      0.000     0.000        0.000         
{}        0      6.640     6.547        6.640
