State     Ref  COSCI/AE     COSCI/STU    COSCI/ccECP  Expt.  FPSODMC/STU  FPSODMC/ccECP 
GS        1       0.0000      0.0000     0.0000       0.000    0.000         0.000
EA        0      -0.9927     -0.0244     0.0254      -1.970   -1.975(1)     -1.947(1)
IP        0       7.8285     -0.0680     0.0021       9.010    8.800(1)      8.842(1)
IP2       0      25.4702      0.0505     0.2103      27.610   27.055(1)     27.234(1)
GS-mult   1     0.0000      0.0000       0.0000       0.000    0.000         0.000
{}        0     0.5773     -0.0651       0.0133       0.589    0.462(1)      0.480(1)
{}        0     0.6304     -0.0454       0.0201       0.584    0.573(1)      0.544(1)
{}        0     1.5787     -0.0045       0.0725       1.309    1.196(1)      1.219(1)
{}        0     3.4514      0.0441       0.1714       2.876    2.916(1)      2.969(1)
EA-mult   1       0.0000      0.0000     0.0000       0.000    0.000         0.000
{}        0       0.6346     -0.0660     0.0139        nan     0.541(1)      0.579(1)
IP-mult   1     0.0000     0.0000        0.0000       0.000    0.000         0.000
{}        0     1.7573     0.1126        0.1150       1.267    1.445(1)      1.454(1)
{}        0     2.0117     0.0729        0.1211       1.540    1.635(1)      1.673(1)
{}        0     3.2603     0.1372        0.1986       2.547    2.756(1)      2.796(1)
{}        0     3.6511     0.0729        0.2097       2.980    3.104(1)      3.166(1)
IP2-mult  1       0.0000      0.0000     0.0000       0.000    0.000         0.000
{}        0       0.5445     -0.0649     0.0191       0.589    0.497(1)      0.477(1)
{}        0       1.0371     -0.0812     0.0469       1.012    0.942(1)      0.887(1)
{}        0       2.4298     -0.0527     0.1352       2.152    2.026(1)      2.048(1)
{}        0       4.4771      0.0656     0.2803        nan     3.738(1)      3.798(1)
