State     Ref  COSCI/AE  COSCI/STU  COSCI/ccECP  Expt.  FPSODMC/STU  FPSODMC/ccECP 
GS        1     0.000      0.000      0.000      0.000    0.00(3)     0.00        
EA        0     0.016     -0.062     -0.005     -0.815   -0.95(3)    -0.82(2)     
EX        0    -0.733     -0.846     -0.790      0.366   -0.27(4)    -0.11(2)     
IP        0     5.850      5.819      5.855      7.864    7.34(3)     7.42(2)     
IP2       0    20.685     20.665     20.738     24.2(2)  23.05(3)    23.16(2)     
GS-mult   1     0.000      0.000      0.000      0.000    0.00(3)     0.00   
{}        0     0.123      0.097      0.126      0.207    0.07(3)     0.17(2)
{}        0     0.296      0.244      0.304      0.412    0.30(3)     0.38(2)
{}        0     0.486      0.414      0.500      0.599    0.46(3)     0.60(2)
{}        0     0.683      0.597      0.704      0.771    0.61(3)     0.79(2)
IP-mult   1     0.000      0.000      0.000      0.000    0.00(3)     0.00   
{}        0     0.116      0.096      0.119      0.188    0.17(3)     0.14(2)
{}        0     0.273      0.232      0.282      0.393    0.27(3)     0.31(2)
{}        0     0.454      0.393      0.469      0.585    0.44(3)     0.57(2)
{}        0     0.648      0.572      0.670      0.762    0.63(3)     0.76(2)
IP2-mult  1     0.000      0.000      0.000      0.000    0.00(3)     0.00   
{}        0     0.148      0.117      0.152      0.280    0.10(3)     0.18(1)
{}        0     0.348      0.288      0.358      0.553    0.33(3)     0.46(2)
{}        0     0.561      0.480      0.580      0.778    0.56(3)     0.68(2)
{}        0     0.777      0.683      0.804      0.953    0.76(3)     0.90(2)
P-EX-mult 1     0.000      0.000      0.000       nan     nan         nan
{}        0     1.697      1.674      1.751       nan     nan         nan
f-EX-mult 1     0.000      0.000      0.000       nan     nan         nan
{}        0     0.008      0.005      0.036       nan     nan         nan
P-EX-mult 1     0.000      0.000      0.000       nan     nan         nan
{}        0    11.059     10.915     11.039       nan     nan         nan







