r,ae,UC,CRENBL,LANL2DZ,MHFSTU,MDFSTU,chandler-stu-mod
1.4,0.08458813,0.03764886,0.08089778,0.06457927,0.05787688,0.09149356,0.09522334
1.5,-0.01949692,-0.0667466,-0.02188503,-0.03554579,-0.0408864,-0.01357528,-0.01276723
1.6,-0.08601723,-0.13342133,-0.08760657,-0.09882275,-0.10342817,-0.08107658,-0.08172943
1.7,-0.1257398,-0.17322219,-0.12680875,-0.13598958,-0.14020395,-0.12159108,-0.12291743
1.8,-0.1463166,-0.19382696,-0.14703398,-0.15457511,-0.1585486,-0.14278966,-0.14436255
1.9,-0.15359461,-0.20110932,-0.15406134,-0.16026518,,-0.15058309,-0.15217183
2.0,-0.15212759,-0.19964842,-0.1524155,-0.15745472,,-0.14959392,-0.15107372
2.1,-0.14553833,-0.19304509,-0.14567971,-0.14959909,,-0.14347447,-0.14477991
2.2,-0.13676389,-0.1842587,-0.1368011,-0.1395181,,-0.13522387,-0.13632011
2.3,-0.12785467,-0.17531751,-0.12787752,-0.12944516,,-0.12683684,-0.12776753
