r,ae,UC,CRENBL,LANL2DZ,MHFSTU,MDFSTU,chandler-stu-mod
1.4,0.10076957,0.05934158,0.09723171,0.08097907,0.07457508,0.1079608,0.10723181
1.5,-0.00677541,-0.04809175,-0.00883175,-0.02241825,-0.02752665,-0.0004361,-0.00240327
1.6,-0.07563251,-0.11688386,-0.07681506,-0.08796556,-0.09239277,-0.07025202,-0.07261853
1.7,-0.1168487,-0.15811295,-0.1175385,-0.12666085,-0.13073202,-0.11233063,-0.11471857
1.8,-0.13840901,-0.17970536,-0.13881964,-0.14629915,-0.15014541,-0.1346151,-0.13684606
1.9,-0.14643233,-0.18776124,-0.14667008,-0.15278776,,-0.1432522,-0.14524053
2.0,-0.14567378,-0.18701477,-0.14578052,-0.15069104,,-0.14303959,-0.14475139
2.1,-0.13989429,-0.18122893,-0.13990318,-0.1436132,,-0.13781698,-0.13922928
2.2,-0.13215264,-0.17348845,-0.13210903,-0.13452498,,-0.13068655,-0.13180492
2.3,-0.1244426,-0.16579423,-0.12445803,-0.12571432,,-0.12356282,-0.12448157
