                                                  

        SCF,CCSD
   -126.60913219,   -127.36411989
   -126.60544135,   -127.37847377
   -126.60559294,   -127.33408511
   -126.53051361,   -127.25430945
   -126.37265818,   -127.05794469
   -126.28593896,   -126.94943513
   -125.73132409,   -126.35051134
   -124.58857078,   -125.15245559
   -122.89536132,   -123.41088537
   -120.65771056,   -121.11785394
    -98.40128916,    -98.72070807
    -69.61190281,    -69.77469786
    -32.24372637,    -32.31503643
                                                  

        SCF,CCSD
   -126.55318312,   -127.30611204
   -126.54313160,   -127.31238815
   -126.54394782,   -127.26972686
   -126.46101146,   -127.18220511
   -126.31560906,   -126.99898910
   -126.21996646,   -126.88123448
   -125.67274603,   -126.29027783
   -124.52681001,   -125.09055228
   -122.83304379,   -123.34714833
   -120.59354624,   -121.05236835
    -98.33681396,    -98.65471554
    -69.47331876,    -69.63754764
    -32.01980739,    -32.09572975
                                                  

        SCF,CCSD
   -126.61728391,   -127.35887629
   -126.60467394,   -127.36593548
   -126.60516615,   -127.32197849
   -126.52115520,   -127.23533989
   -126.37319638,   -127.04674002
   -126.27709851,   -126.93035116
   -125.72277164,   -126.33133780
   -124.57064562,   -125.12477632
   -122.86933224,   -123.37575638
   -120.62646547,   -121.07799911
    -98.45350307,    -98.76445566
    -69.55588395,    -69.71672568
    -32.03663514,    -32.11418798
                                                  
