        SCF,CCSD
   -126.54950797,   -127.29481309
   -126.53746965,   -127.30276568
   -126.53797869,   -127.25869037
   -126.45516786,   -127.17334985
   -126.30534313,   -126.98252578
   -126.21048484,   -126.86760617
   -125.65439504,   -126.26650835
   -124.50122398,   -125.05880465
   -122.79832207,   -123.30809497
   -120.55336432,   -121.00809704
    -98.35907778,    -98.67267190
    -69.48117868,    -69.64421602
    -31.97000186,    -32.04972892
                                                  
