
        SCF,CCSD
   -126.20151823,   -126.97004887
   -126.18678700,   -126.97160934
   -126.18814349,   -126.92980686
   -126.10137033,   -126.83912567
   -125.96173154,   -126.66073236
   -125.86162625,   -126.53904152
   -125.31579433,   -125.94873001
   -124.16776846,   -124.74506568
   -122.46933971,   -122.99767961
   -120.22712990,   -120.69920199
    -97.98842338,    -98.31235770
    -69.13771090,    -69.30930120
    -31.62757670,    -31.71595428
                                                  
