        SCF,CCSD
   -126.68943804,   -127.42077178
   -126.67684870,   -127.42868576
   -126.67713484,   -127.38436391
   -126.59319741,   -127.29817466
   -126.44364990,   -127.10759179
   -126.34788776,   -126.99203329
   -125.79098563,   -126.39050376
   -124.63616488,   -125.18184130
   -122.93190095,   -123.43048214
   -120.68615258,   -121.13046567
    -98.50454747,    -98.81191111
    -69.60237213,    -69.76032926
    -32.13184290,    -32.20601033
                                                  
