        SCF,CCSD
   -126.60925037,   -126.87428408
   -126.60397968,   -126.88318633
   -126.60411799,   -126.84479876
   -126.52701899,   -126.77578706
   -126.37161024,   -126.58981622
   -126.28270829,   -126.48451139
   -125.72859421,   -125.90920153
   -124.58374047,   -124.73973464
   -122.88817086,   -123.02959180
   -120.64804779,   -120.77655155
    -98.38171456,    -98.59432179
    -69.59604877,    -69.72848049
    -32.23548380,    -32.30509541
                                                  
