                                                  

        SCF,CCSD
   -126.60913219,   -127.36411989
   -126.60544135,   -127.37847377
   -126.60559294,   -127.33408511
   -126.53051361,   -127.25430945
   -126.37265818,   -127.05794469
   -126.28593896,   -126.94943513
   -125.73132409,   -126.35051134
   -124.58857078,   -125.15245559
   -122.89536132,   -123.41088537
   -120.65771056,   -121.11785394
    -98.40128916,    -98.72070807
    -69.61190281,    -69.77469786
    -32.24372637,    -32.31503643
                                                  

        SCF,CCSD
   -126.50544794,   -127.24699473
   -126.49093814,   -127.24858250
   -126.49199240,   -127.20658357
   -126.40378235,   -127.11435791
   -126.26528302,   -126.93786503
   -126.16392717,   -126.81468707
   -125.61921111,   -126.22650011
   -124.47121844,   -125.02385697
   -122.77293732,   -123.27780042
   -120.53101078,   -120.98125186
    -98.29397084,    -98.60732325
    -69.41752592,    -69.58033503
    -31.94160454,    -32.01905745
                                                  

        SCF,CCSD
   -126.20151823,   -126.97004887
   -126.18678700,   -126.97160934
   -126.18814349,   -126.92980686
   -126.10137033,   -126.83912567
   -125.96173154,   -126.66073236
   -125.86162625,   -126.53904152
   -125.31579433,   -125.94873001
   -124.16776846,   -124.74506568
   -122.46933971,   -122.99767961
   -120.22712990,   -120.69920199
    -97.98842338,    -98.31235770
    -69.13771090,    -69.30930120
    -31.62757670,    -31.71595428
                                                  

        SCF,CCSD
   -126.74492065,   -127.48113329
   -126.73235202,   -127.48783006
   -126.73274443,   -127.44396706
   -126.64789921,   -127.35622035
   -126.50098817,   -127.16933234
   -126.40409963,   -127.05185678
   -125.85091339,   -126.45450383
   -124.69929935,   -125.24870497
   -122.99856163,   -123.50052733
   -120.75616751,   -121.20356209
    -98.58219636,    -98.89037803
    -69.66801388,    -69.82585807
    -32.17632687,    -32.24948945
                                                  
