                                                  

        SCF,CCSD
   -127.06909739,   -127.86642345
   -127.06411872,   -127.87915935
   -127.06410060,   -127.83484151
   -126.98645241,   -127.75177095
   -126.83075284,   -127.55860637
   -126.74155973,   -127.44672846
   -126.18688337,   -126.84801711
   -125.04136435,   -125.64596020
   -123.34545767,   -123.89983208
   -121.10505017,   -121.60079929
    -98.85763619,    -99.18538750
    -70.01125145,    -70.17335678
    -32.54029462,    -32.60777826
                                                  
