                                                  

        SCF,CCSD
   -126.55169972,   -127.30464831
   -126.54592196,   -127.31646151
   -126.54604383,   -127.27254653
   -126.46832834,   -127.19030039
   -126.31414470,   -126.99765983
   -126.22452390,   -126.88634157
   -125.67142959,   -126.28907513
   -124.52716276,   -125.08967060
   -122.83246478,   -123.34673012
   -120.59345320,   -121.05242664
    -98.33815838,    -98.65644630
    -69.53252308,    -69.69530527
    -32.16790108,    -32.24005112
                                                  
