
        SCF,CCSD
   -126.29174809,   -127.05327587
   -126.27725015,   -127.05502320
   -126.27849674,   -127.01313392
   -126.19146519,   -126.92212324
   -126.05188053,   -126.74405688
   -125.95160168,   -126.62208304
   -125.40593839,   -126.03223142
   -124.25798085,   -124.82889323
   -122.55966558,   -123.08192183
   -120.31755973,   -120.78397944
    -98.07891196,    -98.39995870
    -69.22247653,    -69.39143188
    -31.72640567,    -31.81096161
                                                  
