        SCF,CCSD
   -126.74492065,   -127.48113329
   -126.73235202,   -127.48783006
   -126.73274443,   -127.44396706
   -126.64789921,   -127.35622035
   -126.50098817,   -127.16933234
   -126.40409963,   -127.05185678
   -125.85091339,   -126.45450383
   -124.69929935,   -125.24870497
   -122.99856163,   -123.50052733
   -120.75616751,   -121.20356209
    -98.58219636,    -98.89037803
    -69.66801388,    -69.82585807
    -32.17632687,    -32.24948945
                                                  
