                                                  

        SCF,CCSD
   -126.60913219,   -127.36411989
   -126.60544135,   -127.37847377
   -126.60559294,   -127.33408511
   -126.53051361,   -127.25430945
   -126.37265818,   -127.05794469
   -126.28593896,   -126.94943513
   -125.73132409,   -126.35051134
   -124.58857078,   -125.15245559
   -122.89536132,   -123.41088537
   -120.65771056,   -121.11785394
    -98.40128916,    -98.72070807
    -69.61190281,    -69.77469786
    -32.24372637,    -32.31503643
                                                  

        SCF,CCSD
   -126.50544794,   -127.24699473
   -126.49093814,   -127.24858250
   -126.49199240,   -127.20658357
   -126.40378235,   -127.11435791
   -126.26528302,   -126.93786503
   -126.16392717,   -126.81468707
   -125.61921111,   -126.22650011
   -124.47121844,   -125.02385697
   -122.77293732,   -123.27780042
   -120.53101078,   -120.98125186
    -98.29397084,    -98.60732325
    -69.41752592,    -69.58033503
    -31.94160454,    -32.01905745
                                                  

        SCF,CCSD
   -126.46412345,   -127.22093297
   -126.44953038,   -127.22228938
   -126.45067161,   -127.18038137
   -126.36264143,   -127.08823154
   -126.22420793,   -126.91175944
   -126.12293160,   -126.78852376
   -125.57826838,   -126.20011897
   -124.43028610,   -124.99697014
   -122.73191282,   -123.25020391
   -120.48983520,   -120.95261763
    -98.25063183,    -98.57026399
    -69.40121742,    -69.56747286
    -31.89019365,    -31.97066392
                                                  

        SCF,CCSD
   -125.91932847,   -126.66800990
   -125.90480356,   -126.67353550
   -125.90610601,   -126.63036450
   -125.82350072,   -126.54582345
   -125.67555675,   -126.35554842
   -125.58030774,   -126.24102211
   -125.02481441,   -125.63934172
   -123.87181658,   -124.43140707
   -122.16911216,   -122.68054163
   -119.92425628,   -120.38049804
    -97.73152803,    -98.04784627
    -68.84916694,    -69.02090760
    -31.34856810,    -31.44568221
                                                  

        SCF,CCSD
   -126.55745781,   -127.30102656
   -126.54542417,   -127.30897682
   -126.54592105,   -127.26489286
   -126.46305188,   -127.17949581
   -126.31328708,   -126.98876114
   -126.21837871,   -126.87378333
   -125.66236771,   -126.27281091
   -124.50925231,   -125.06521948
   -122.80643058,   -123.31466212
   -120.56159229,   -121.01488586
    -98.36793293,    -98.68092415
    -69.48795969,    -69.65065840
    -31.97847834,    -32.05791001
                                                  

        SCF,CCSD
   -126.84699512,   -127.56981172
   -126.83473611,   -127.57791947
   -126.83488292,   -127.53347792
   -126.75063023,   -127.44684695
   -126.60124161,   -127.25678629
   -126.50528696,   -127.14083997
   -125.94883127,   -126.54013202
   -124.79449636,   -125.33220427
   -123.09093133,   -123.58185247
   -120.84603175,   -121.28316518
    -98.67270251,    -98.97609230
    -69.75669965,    -69.91143242
    -32.28745283,    -32.35815774
                                                  

        SCF,CCSD
   -126.60913853,   -127.36330907
   -126.60359047,   -127.37556771
   -126.60386012,   -127.33158147
   -126.52650894,   -127.24963843
   -126.37150134,   -127.05623046
   -126.28229311,   -126.94530563
   -125.72838233,   -126.34722522
   -124.58332713,   -125.14702162
   -122.88743028,   -123.40287504
   -120.64682385,   -121.10696047
    -98.37551113,    -98.69506518
    -69.59127624,    -69.75407121
    -32.23229110,    -32.30357575
                                                  

        SCF,CCSD
   -126.60913983,   -126.60913983
   -126.60379635,   -126.60379635
   -126.60386109,   -126.60386109
   -126.52650982,   -126.52650982
   -126.37150234,   -126.37150234
   -126.28229388,   -126.28229388
   -125.72838289,   -125.72838289
   -124.58332733,   -124.58332733
   -122.88743033,   -122.88743033
   -120.64682396,   -120.64682396
    -98.37551138,    -98.37551138
    -69.59127657,    -69.59127657
    -32.23229140,    -32.23229140
                                                  

        SCF,CCSD
   -126.60922622,   -126.60922622
   -126.60377350,   -126.60377350
   -126.60393697,   -126.60393697
   -126.52658051,   -126.52658051
   -126.37157505,   -126.37157505
   -126.28236893,   -126.28236893
   -125.72845919,   -125.72845919
   -124.58340199,   -124.58340199
   -122.88751172,   -122.88751172
   -120.64693539,   -120.64693539
    -98.37566314,    -98.37566314
    -69.59148907,    -69.59148907
    -32.23241870,    -32.23241870
                                                  

        SCF,CCSD
   -127.16174591,   -127.16174591
   -127.15681085,   -127.15681085
   -127.15671498,   -127.15671498
   -127.07882597,   -127.07882597
   -126.92358341,   -126.92358341
   -126.83408676,   -126.83408676
   -126.27980418,   -126.27980418
   -125.13419597,   -125.13419597
   -123.43800712,   -123.43800712
   -121.19716404,   -121.19716404
    -98.94436358,    -98.94436358
    -70.09748844,    -70.09748844
    -32.58394260,    -32.58394260
                                                  

        SCF,CCSD
   -127.16174591,   -127.42763063
   -127.15681085,   -127.43733521
   -127.15671498,   -127.39843334
   -127.07882597,   -127.32894797
   -126.92358341,   -127.14282931
   -126.83408676,   -127.03688266
   -126.27980418,   -126.46155896
   -125.13419597,   -125.29140884
   -123.43800712,   -123.58059702
   -121.19716404,   -121.32672819
    -98.94436358,    -99.15478667
    -70.09748844,    -70.22568998
    -32.58394260,    -32.64936003
                                                  

        SCF,CCSD
   -126.94648121,   -127.70532944
   -126.94128176,   -127.71806120
   -126.94125676,   -127.67365081
   -126.86390202,   -127.59183417
   -126.70836030,   -127.39758698
   -126.61925215,   -127.28662218
   -126.06452880,   -126.68757846
   -124.91863177,   -125.48621181
   -123.22196488,   -123.74093728
   -120.98088037,   -121.44414508
    -98.72490358,    -99.04486009
    -69.88551553,    -70.04789599
    -32.36874538,    -32.44060941
                                                  
