        SCF,CCSD
   -126.61728391,   -127.35887629
   -126.60467394,   -127.36593548
   -126.60516615,   -127.32197849
   -126.52115520,   -127.23533989
   -126.37319638,   -127.04674002
   -126.27709851,   -126.93035116
   -125.72277164,   -126.33133780
   -124.57064562,   -125.12477632
   -122.86933224,   -123.37575638
   -120.62646547,   -121.07799911
    -98.45350307,    -98.76445566
    -69.55588395,    -69.71672568
    -32.03663514,    -32.11418798
                                                  
