
        SCF,CCSD
   -126.46412345,   -127.22093297
   -126.44953038,   -127.22228938
   -126.45067161,   -127.18038137
   -126.36264143,   -127.08823154
   -126.22420793,   -126.91175944
   -126.12293160,   -126.78852376
   -125.57826838,   -126.20011897
   -124.43028610,   -124.99697014
   -122.73191282,   -123.25020391
   -120.48983520,   -120.95261763
    -98.25063183,    -98.57026399
    -69.40121742,    -69.56747286
    -31.89019365,    -31.97066392
                                                  
