        SCF,CCSD
   -126.84699512,   -127.56981172
   -126.83473611,   -127.57791947
   -126.83488292,   -127.53347792
   -126.75063023,   -127.44684695
   -126.60124161,   -127.25678629
   -126.50528696,   -127.14083997
   -125.94883127,   -126.54013202
   -124.79449636,   -125.33220427
   -123.09093133,   -123.58185247
   -120.84603175,   -121.28316518
    -98.67270251,    -98.97609230
    -69.75669965,    -69.91143242
    -32.28745283,    -32.35815774
                                                  
