        SCF,CCSD
   -126.60925518,   -126.87582925
   -126.60374672,   -126.88410480
   -126.60395396,   -126.84591922
   -126.52643815,   -126.77626845
   -126.37181117,   -126.59136654
   -126.28236701,   -126.48533320
   -125.72872730,   -125.91053154
   -124.58347037,   -124.74051167
   -122.88707467,   -123.02941752
   -120.64558542,   -120.77491137
    -98.36077595,    -98.57418320
    -69.58403904,    -69.71696147
    -32.22868946,    -32.29838992
                                                  
