     Z,SCF,CCSD
   1.679,   -127.0692863,   -127.8508521
   1.629,   -127.0697561,   -127.8538161
   1.579,   -127.0693320,   -127.8559591
   1.529,   -127.0678306,   -127.8570255
   1.479,   -127.0650213,   -127.8567047
   1.429,   -127.0606044,   -127.8545987
   1.379,   -127.0541829,   -127.8502296
   1.329,   -127.0452310,   -127.8430002
   1.279,   -127.0330594,   -127.8321704
   1.229,   -127.0167763,   -127.8168101
   1.179,   -126.9952345,   -127.7957383
                                                  
